"cluster","metric","n_cells","mean","median","sd","q05","q25","q75","q95"
"C23","PromoterRatio",389,0.238598137214476,0.218423551756885,0.0486840443032034,0.185562803903149,0.203253772878091,0.28088467614534,0.328209193898
"C3","PromoterRatio",2497,0.277997390131304,0.265641928494041,0.0463865594927455,0.217029857559356,0.241344195519348,0.315243717832274,0.358105163866881
"C4","PromoterRatio",1157,0.263713129154013,0.252318718381113,0.0419950452624626,0.212387353816626,0.235871505056514,0.283713435795736,0.34481108338826
"C5","PromoterRatio",5620,0.286661671198576,0.274229522201243,0.0494208979061454,0.221731051468683,0.248518430790989,0.324745997850025,0.375112716793754
"C6","PromoterRatio",5952,0.270785935850025,0.259653241193619,0.0441356449312631,0.213104134605734,0.238037210989477,0.302412958857557,0.35100621446381
"C7","PromoterRatio",1598,0.254106453298927,0.245912148087097,0.0376646454304499,0.206742977271661,0.227286354822783,0.275453913373977,0.322853012830151
"C8","PromoterRatio",1521,0.248038128750846,0.237623762376238,0.0388978688333138,0.20109689213894,0.220657931419013,0.268563951586523,0.324409522913334
"C9","PromoterRatio",1854,0.272433151970815,0.266605356739672,0.0385215416892484,0.221343861516058,0.245231414326574,0.296240271023114,0.342026614959611
"C1","Gex_nUMI",181,4471.97790055249,3755,2347.53127054265,1830,2888,5525,8583
"C10","Gex_nUMI",33,4373.75757575758,4365,1201.15233812949,2707.4,3513,5000,6179.8
"C11","Gex_nUMI",1257,5631.71439936356,4790,2719.95915288582,2698.4,3727,6946,10593
"C12","Gex_nUMI",1848,3125.72510822511,2935.5,1063.70036264014,1956.05,2480,3508,4994.45
"C13","Gex_nUMI",1792,2949.46763392857,2763,975.287794752032,1822,2333.75,3292.25,4698.9
"C14","Gex_nUMI",1226,3380.81647634584,3045.5,1690.5626667986,1918.5,2497.25,3698.75,5898
"C15","Gex_nUMI",1345,2665.99479553903,2483,993.525997875767,1678,2090,2908,4427.2
"C16","Gex_nUMI",113,9786.56637168142,9153,3986.00116675335,4620,7023,11751,17031
"C17","Gex_nUMI",349,15662.0601719198,15586,4578.65194917197,8177,12978,18369,23105
"C18","Gex_nUMI",718,12638.1323119777,11920.5,4149.60843415456,7061.5,9695,15077.5,20683.05
"C19","Gex_nUMI",254,9951.45275590551,9242,3611.01274974028,5750.95,7381,11714,16401.6
"C2","Gex_nUMI",140,6705.45,5171.5,4222.35793398213,2700.8,3902.5,8396.25,15171.65
"C20","Gex_nUMI",1227,4934.60391198044,4657,1852.59917089768,2897.3,3800,5550,8034.5
"C21","Gex_nUMI",255,5481.59607843137,5206,1621.50579550813,3412.2,4514,6243,8157.3
"C22","Gex_nUMI",421,5874.65795724466,5567,1810.54788389345,3599,4741,6470,9449
"C23","Gex_nUMI",389,5276.39588688946,5125,1434.49149098731,3295.6,4452,5955,7380.39999999999
"C3","Gex_nUMI",2497,3118.94553464157,2857,1162.34892570054,1930.4,2432,3416,5533.6
"C4","Gex_nUMI",1157,2807.81849611063,2629,1053.6915416533,1730.2,2228,3126,4149.2
"C5","Gex_nUMI",5620,4952.57793594306,4483.5,2036.66233329045,2759.95,3674,5592.25,8880.45
"C6","Gex_nUMI",5952,3454.86155913978,3174.5,1310.25154752157,2062,2657,3838,6112.4
"C7","Gex_nUMI",1598,8522.32415519399,7872.5,3347.71405909615,4648.25,6255.5,10011.5,14715.8
"C8","Gex_nUMI",1521,3452.28270874425,3265,1120.13062925809,2129,2750,3876,5228
"C9","Gex_nUMI",1854,6853.32740021575,6267.5,2726.29923321875,3783.3,5111,7840.25,11998.15
"C1","Gex_nGenes",181,2332.11049723757,2084,856.820251440222,1225,1713,2777,3886
"C10","Gex_nGenes",33,2284.06060606061,2310,451.39048639966,1691.6,1940,2534,2900.6
"C11","Gex_nGenes",1257,2826.52187748608,2593,849.815912834832,1766.8,2195,3389,4376.2
"C12","Gex_nGenes",1848,1826.33712121212,1762.5,405.344181205804,1339.7,1574.75,1978.25,2587.55
"C13","Gex_nGenes",1792,1643.97265625,1582,365.877933210159,1195.65,1411,1782.25,2376.25
"C14","Gex_nGenes",1226,1877.24469820555,1782.5,557.008227389893,1282.25,1546.5,2034,2865
"C15","Gex_nGenes",1345,1527.01635687732,1453,377.392072675047,1114.6,1301,1626,2257.2
"C16","Gex_nGenes",113,3933.57522123894,3890,1010.90215017957,2518.2,3168,4491,5656.6
"C17","Gex_nGenes",349,5344.85673352436,5431,949.655507467846,3669.4,4922,5918,6647.2
"C18","Gex_nGenes",718,4464.28551532033,4372.5,841.431648812034,3238.05,3906.25,5026.75,5955.35
"C19","Gex_nGenes",254,3766.94881889764,3618,861.89294002091,2668.6,3122,4321.75,5323.2
"C2","Gex_nGenes",140,3055.87857142857,2800,1034.64242228103,1778.6,2309.25,3623,5155.45
"C20","Gex_nGenes",1227,2328.20456397718,2263,539.800609413965,1639.6,1989.5,2553.5,3309.6
"C21","Gex_nGenes",255,2563.42352941176,2500,482.554065588345,1845.3,2274,2839,3446.5
"C22","Gex_nGenes",421,2682.29928741093,2604,527.883772132127,1959,2362,2905,3741
"C23","Gex_nGenes",389,2521.75321336761,2488,436.214669524607,1895.4,2272,2754,3172.8
"C3","Gex_nGenes",2497,1858.48738486183,1764,465.45157708835,1333.6,1576,1981,2922.8
"C4","Gex_nGenes",1157,1808.45462402766,1742,424.851065770464,1293,1551,1977,2456.2
"C5","Gex_nGenes",5620,2582.67882562278,2453,654.999963901138,1785,2153,2837,3903.05
"C6","Gex_nGenes",5952,2011.10063844086,1916,502.214408898285,1420,1696,2183,3099.7
"C7","Gex_nGenes",1598,3656.69461827284,3553.5,847.135987133932,2499.7,3069.75,4136.75,5200.5
"C8","Gex_nGenes",1521,1812.70677186062,1765,378.533243708224,1335,1580,1962,2433
"C9","Gex_nGenes",1854,3282.37270765912,3165,757.483201511102,2286.6,2776.25,3633,4713.35
"C1","Gex_Log10_nUMI",181,3.60026727910147,3.57472558359407,0.205189777936667,3.2626883443017,3.4607475418442,3.74241088058049,3.9336897089579
"C10","Gex_Log10_nUMI",33,3.62419784148016,3.64008373137312,0.125345500982344,3.43248301842919,3.54580175715928,3.69905685454767,3.79076849371696
"C11","Gex_Log10_nUMI",1257,3.70886760606843,3.68042617085815,0.185592409099597,3.43126693803226,3.57147590368194,3.84179729887436,4.02505773912041
"C12","Gex_Log10_nUMI",1848,3.47589227680091,3.46782999888342,0.123749466757946,3.29160180539169,3.39462676427221,3.54518336821541,3.69857245773616
"C13","Gex_Log10_nUMI",1792,3.4507451994233,3.44153803870216,0.124559909761601,3.26078666865498,3.36824037660394,3.51762469674236,3.67208860779734
"C14","Gex_Log10_nUMI",1226,3.49679562363151,3.48380112981823,0.154391816524868,3.28318807226703,3.3976358895602,3.56817237587909,3.77077569305786
"C15","Gex_Log10_nUMI",1345,3.40528811338723,3.39515159150454,0.126044413240709,3.22505069613805,3.32035403281767,3.46374372124706,3.64622102672733
"C16","Gex_Log10_nUMI",113,3.95668537896815,3.96161090809128,0.173850803860801,3.66473377007948,3.84658450289805,4.0701117827822,4.23117808032677
"C17","Gex_Log10_nUMI",349,4.16956913277416,4.19276253540569,0.167066153879775,3.9126385296049,4.1132412324326,4.26410915630581,4.36372452489861
"C18","Gex_Log10_nUMI",718,4.07780385372725,4.07633079272694,0.14852308254445,3.84895840528381,3.98659259989385,4.17835801920631,4.31563528887103
"C19","Gex_Log10_nUMI",254,3.97252301487181,3.96581148899858,0.14727973408534,3.75981431168394,3.86817384972736,4.06874212193525,4.21490930358954
"C2","Gex_Log10_nUMI",140,3.75946647725168,3.71370039991417,0.234121356207745,3.43164732603081,3.59145365934813,3.92413629373082,4.18106039717374
"C20","Gex_Log10_nUMI",1227,3.66983392871504,3.66819948419866,0.137957395005587,3.46214333140111,3.5798978696031,3.74437122028474,3.90501274644699
"C21","Gex_Log10_nUMI",255,3.72222581296702,3.71658757767569,0.119851226660449,3.53316159598095,3.65465771204077,3.79546284426345,3.91157974773152
"C22","Gex_Log10_nUMI",421,3.75081999496966,3.74569922660251,0.124178535613104,3.55630250076729,3.67596154964217,3.81097139982221,3.97543180850926
"C23","Gex_Log10_nUMI",389,3.70766636247884,3.70977860184823,0.113441723549067,3.5180645244418,3.64865269513122,3.77495468908014,3.86807915983293
"C3","Gex_Log10_nUMI",2497,3.47151015285352,3.45606222445495,0.132965703994873,3.28587214319236,3.38614210893082,3.53364497879876,3.7430861662033
"C4","Gex_Log10_nUMI",1157,3.42804326161179,3.41995574848976,0.125219081864542,3.23834705777364,3.34811006848024,3.49512788124293,3.61806878224659
"C5","Gex_Log10_nUMI",5620,3.66599544601295,3.65171402565152,0.152722714471776,3.44105854041056,3.56525734342021,3.74766423000506,3.94848386460673
